Id;Unicode;Gardinercode;Symbol
534;U+1325D;O6f;𓉝
535;U+1325E;O7;𓉞
536;U+1325F;O8;𓉟
537;U+13260;O9;𓉠
538;U+13261;O10;𓉡
539;U+13262;O10a;𓉢
540;U+13263;O10b;𓉣
541;U+13264;O10c;𓉤
542;U+13265;O11;𓉥
543;U+13266;O12;𓉦
544;U+13267;O13;𓉧
545;U+13268;O14;𓉨
546;U+13269;O15;𓉩
547;U+1326A;O16;𓉪
548;U+1326B;O17;𓉫
549;U+1326C;O18;𓉬
550;U+1326D;O19;𓉭
551;U+1326E;O19a;𓉮
552;U+1326F;O20;𓉯
553;U+13270;O20a;𓉰
554;U+13271;O21;𓉱
555;U+13272;O22;𓉲
556;U+13273;O23;𓉳
557;U+13274;O24;𓉴
558;U+13275;O24a;𓉵
559;U+13276;O25;𓉶
560;U+13277;O25a;𓉷
561;U+13278;O26;𓉸
562;U+13279;O27;𓉹
563;U+1327A;O28;𓉺
564;U+1327B;O29;𓉻
565;U+1327C;O29a;𓉼
566;U+1327D;O30;𓉽
567;U+1327E;O30a;𓉾
568;U+1327F;O31;𓉿
569;U+13280;O32;𓊀
570;U+13281;O33;𓊁
571;U+13282;O33a;𓊂
572;U+13283;O34;𓊃
573;U+13284;O35;𓊄
574;U+13285;O36;𓊅
575;U+13286;O36a;𓊆
576;U+13287;O36b;𓊇
577;U+13288;O36c;𓊈
578;U+13289;O36d;𓊉
579;U+1328A;O37;𓊊
580;U+1328B;O38;𓊋
581;U+1328C;O39;𓊌
582;U+1328D;O40;𓊍
583;U+1328E;O41;𓊎
584;U+1328F;O42;𓊏
585;U+13290;O43;𓊐
586;U+13291;O44;𓊑
587;U+13292;O45;𓊒
588;U+13293;O46;𓊓
589;U+13294;O47;𓊔
590;U+13295;O48;𓊕
591;U+13296;O49;𓊖
592;U+13297;O50;𓊗
593;U+13298;O50a;𓊘
594;U+13299;O50b;𓊙
595;U+1329A;O51;𓊚
596;U+1329B;P1;𓊛
597;U+1329C;P1a;𓊜
598;U+1329D;P2;𓊝
599;U+1329E;P3;𓊞
600;U+1329F;P3a;𓊟
601;U+132A0;P4;𓊠
602;U+132A1;P5;𓊡
603;U+132A2;P6;𓊢
604;U+132A3;P7;𓊣
605;U+132A4;P8;𓊤
606;U+132A5;P9;𓊥
607;U+132A6;P10;𓊦
608;U+132A7;P11;𓊧
609;U+132A8;Q1;𓊨
610;U+132A9;Q2;𓊩
611;U+132AA;Q3;𓊪
612;U+132AB;Q4;𓊫
613;U+132AC;Q5;𓊬
614;U+132AD;Q6;𓊭
615;U+132AE;Q7;𓊮
616;U+132AF;R1;𓊯
617;U+132B0;R2;𓊰
618;U+132B1;R2a;𓊱
619;U+132B2;R3;𓊲
620;U+132B3;R3a;𓊳
621;U+132B4;R3b;𓊴
622;U+132B5;R4;𓊵
623;U+132B6;R5;𓊶
624;U+132B7;R6;𓊷
625;U+132B8;R7;𓊸
626;U+132B9;R8;𓊹
627;;R8a;𓊹𓊹𓊹
628;U+132BA;R9;𓊺
629;U+132BB;R10;𓊻
630;U+132BC;R10a;𓊼
631;U+132BD;R11;𓊽
632;U+132BE;R12;𓊾
633;U+132BF;R13;𓊿
634;U+132C0;R14;𓋀
635;U+132C1;R15;𓋁
636;U+132C2;R16;𓋂
637;U+132C3;R16a;𓋃
638;U+132C4;R17;𓋄
639;U+132C5;R18;𓋅
640;U+132C6;R19;𓋆
641;U+132C7;R20;𓋇
642;U+132C8;R21;𓋈
643;U+132C9;R22;𓋉
644;U+132CA;R23;𓋊
645;U+132CB;R24;𓋋
646;U+132CC;R25;𓋌
647;U+132CD;R26;𓋍
648;U+132CE;R27;𓋎
649;U+132CF;R28;𓋏
650;U+132D0;R29;𓋐
651;U+132D1;S1;𓋑
652;U+132D2;S2;𓋒
653;U+132D3;S2a;𓋓
654;U+132D4;S3;𓋔
655;U+132D5;S4;𓋕
656;U+132D6;S5;𓋖
657;U+132D7;S6;𓋗
658;U+132D8;S6a;𓋘
659;U+132D9;S7;𓋙
660;U+132DA;S8;𓋚
661;U+132DB;S9;𓋛
662;U+132DC;S10;𓋜
663;U+132DD;S11;𓋝
664;U+132DE;S12;𓋞
665;U+132DF;S13;𓋟
666;U+132E0;S14;𓋠
667;U+132E1;S14a;𓋡
668;U+132E2;S14b;𓋢
669;U+132E3;S15;𓋣
670;U+132E4;S16;𓋤
671;U+132E5;S17;𓋥
672;U+132E6;S17a;𓋦
673;U+132E7;S18;𓋧
674;U+132E8;S19;𓋨
675;U+132E9;S20;𓋩
676;U+132EA;S21;𓋪
677;U+132EB;S22;𓋫
678;U+132EC;S23;𓋬
679;U+132ED;S24;𓋭
680;U+132EE;S25;𓋮
681;U+132EF;S26;𓋯
682;U+132F0;S26a;𓋰
683;U+132F1;S26b;𓋱
684;U+132F2;S27;𓋲
685;U+132F3;S28;𓋳
686;U+132F4;S29;𓋴
687;U+132F5;S30;𓋵
688;U+132F6;S31;𓋶
689;U+132F7;S32;𓋷
690;U+132F8;S33;𓋸
691;U+132F9;S34;𓋹
692;U+132FA;S35;𓋺
693;U+132FB;S35a;𓋻
694;U+132FC;S36;𓋼
695;U+132FD;S37;𓋽
696;U+132FE;S38;𓋾
697;U+132FF;S39;𓋿
698;U+13300;S40;𓌀
699;U+13301;S41;𓌁
700;U+13302;S42;𓌂
701;U+13303;S43;𓌃
702;U+13304;S44;𓌄
703;U+13305;S45;𓌅
704;U+13306;S46;𓌆
705;U+13307;T1;𓌇
706;U+13308;T2;𓌈
707;U+13309;T3;𓌉
708;U+1330A;T3a;𓌊
709;U+1330B;T4;𓌋
710;U+1330C;T5;𓌌
711;U+1330D;T6;𓌍
712;U+1330E;T7;𓌎
713;U+1330F;T7a;𓌏
714;U+13310;T8;𓌐
715;U+13311;T8a;𓌑
716;U+13312;T9;𓌒
717;U+13313;T9a;𓌓
718;U+13314;T10;𓌔
719;U+13315;T11;𓌕
720;U+13316;T11a;𓌖
721;U+13317;T12;𓌗
722;U+13318;T13;𓌘
723;U+13319;T14;𓌙
724;U+1331A;T15;𓌚
725;U+1331B;T16;𓌛
726;U+1331C;T16a;𓌜
727;U+1331D;T17;𓌝
728;U+1331E;T18;𓌞
729;U+1331F;T19;𓌟
730;U+13320;T20;𓌠
731;U+13321;T21;𓌡
732;U+13322;T22;𓌢
733;U+13323;T23;𓌣
734;U+13324;T24;𓌤
735;U+13325;T25;𓌥
736;U+13326;T26;𓌦
737;U+13327;T27;𓌧
738;U+13328;T28;𓌨
739;U+13329;T29;𓌩
740;U+1332A;T30;𓌪
741;U+1332B;T31;𓌫
742;U+1332C;T32;𓌬
743;U+1332D;T32a;𓌭
744;U+1332E;T33;𓌮
745;U+1332F;T33a;𓌯
746;U+13330;T34;𓌰
747;U+13331;T35;𓌱
748;U+13332;T36;𓌲
749;U+13333;U1;𓌳
750;U+13334;U2;𓌴
751;U+13335;U3;𓌵
752;U+13336;U4;𓌶
753;U+13337;U5;𓌷
754;U+13338;U6;𓌸
755;U+13339;U6a;𓌹
756;U+1333A;U6b;𓌺
757;U+1333B;U7;𓌻
758;U+1333C;U8;𓌼
759;U+1333D;U9;𓌽
760;U+1333E;U10;𓌾
761;U+1333F;U11;𓌿
762;U+13340;U12;𓍀
763;U+13341;U13;𓍁
764;U+13342;U14;𓍂
765;U+13343;U15;𓍃
766;U+13344;U16;𓍄
767;U+13345;U17;𓍅
768;U+13346;U18;𓍆
769;U+13347;U19;𓍇
770;U+13348;U20;𓍈
771;U+13349;U21;𓍉
772;U+1334A;U22;𓍊
773;U+1334B;U23;𓍋
774;U+1334C;U23a;𓍌
775;U+1334D;U24;𓍍
776;U+1334E;U25;𓍎
777;U+1334F;U26;𓍏
778;U+13350;U27;𓍐
779;U+13351;U28;𓍑
780;U+13352;U29;𓍒
781;U+13353;U29a;𓍓
782;U+13354;U30;𓍔
783;U+13355;U31;𓍕
784;U+13356;U32;𓍖
785;U+13357;U32a;𓍗
786;U+13358;U33;𓍘
787;U+13359;U34;𓍙
788;U+1335A;U35;𓍚
789;U+1335B;U36;𓍛
790;U+1335C;U37;𓍜
791;U+1335D;U38;𓍝
792;U+1335E;U39;𓍞
793;U+1335F;U40;𓍟
794;U+13360;U41;𓍠
795;U+13361;U42;𓍡
796;U+13362;V1;𓍢
797;U+13364;V1b;𓍤
798;U+1336C;V2;𓍬
799;U+1336D;V2a;𓍭
800;U+1336E;V3;𓍮
801;U+1336F;V4;𓍯
802;U+13370;V5;𓍰
803;U+13371;V6;𓍱
804;U+13372;V7;𓍲
805;U+13373;V7a;𓍳
806;U+13374;V7b;𓍴
807;U+13375;V8;𓍵
808;U+13376;V9;𓍶
809;U+13377;V10;𓍷
810;U+13378;V11;𓍸
811;U+13379;V11a;𓍹
812;U+1337A;V11b;𓍺
813;U+1337B;V11c;𓍻
814;U+1337C;V12;𓍼
815;U+1337D;V12a;𓍽
816;U+1337E;V12b;𓍾
817;U+1337F;V13;𓍿
